주소,구이름,동이름,위도,경도
대구광역시 중구 도원동 3-47,중구,도원,35.8766301,128.5829756
대구광역시 중구 태평로1가 1-186,중구,태평로1,35.8751878,128.5973352
대구광역시 중구 계산동2가 251-1,중구,계산동2,35.8668969,128.5915534
대구광역시 중구 대신동 292-6,중구,대신,35.8663457,128.5804396
대구광역시 수성구 수성동2가 39-105,수성구,수성동2,35.8560771,128.6170483
대구광역시 수성구 만촌동 858,수성구,만촌,35.8550732,128.6515475
대구광역시 수성구 만촌동 812-2,수성구,만촌,35.85052750000001,128.6559285
대구광역시 수성구 만촌동 857-33,수성구,만촌,35.8540629,128.6517092
대구광역시 수성구 범어동 77-131,수성구,범어,35.8549343,128.6429802
대구광역시 수성구 수성동2가 39-164,수성구,수성동2,35.8554082,128.6167824
대구광역시 수성구 범어동 1004-24,수성구,범어,35.8578459,128.6312963
대구광역시 수성구 성동 산22,수성구,성,35.8530866,128.7176369
대구광역시 수성구 지산동 1199-10,수성구,지산,35.8209994,128.6320757
대구광역시 수성구 수성동3가 338-2,수성구,수성동3,35.8536955,128.6185316
대구광역시 서구 비산동 108-2,서구,비산,35.8763552,128.5767651
대구광역시 서구 평리동 1536-2,서구,평리,35.8698128,128.5479017
대구광역시 서구 평리동 1539-15,서구,평리,35.8703746,128.5474551
대구광역시 서구 비산동 404-7,서구,비산,35.873046,128.5754886
대구광역시 서구 비산동 171-40,서구,비산,35.8701205,128.576921
대구광역시 서구 비산동 115-3,서구,비산,35.8758254,128.5757818
대구광역시 서구 비산동 145-1,서구,비산,35.8744877,128.575956
대구광역시 서구 비산동 324-1,서구,비산,35.8705735,128.5707685
대구광역시 서구 원대동3가 1447,서구,원대동3,35.8839618,128.5748854
대구광역시 서구 비산동 569-5,서구,비산,35.8801257,128.5700767
대구광역시 서구 비산동 434,서구,비산,35.8750531,128.5716696
대구광역시 서구 평리동 1048-3,서구,평리,35.8748206,128.5654788
대구광역시 서구 평리동 606-7,서구,평리,35.8773141,128.5505625
대구광역시 서구 원대동3가 1434-29,서구,원대동3,35.8851037,128.5752224
대구광역시 서구 비산동 1025-10,서구,비산,35.8866618,128.5668759
대구광역시 서구 내당동 1006-189,서구,내당,35.8674743,128.5755955
대구광역시 서구 비산동 434-24,서구,비산,35.8751144,128.5716745
대구광역시 서구 비산동 1260-2,서구,비산,35.8881536,128.5624148
대구광역시 서구 평리동 1435-4,서구,평리,35.8654021,128.5535502
대구광역시 서구 평리동 1205,서구,평리,35.8680988,128.5606983
대구광역시 서구 내당동 1018-5,서구,내당,35.8689647,128.5763295
대구광역시 서구 비산동 666-2,서구,비산,35.88305,128.57151
대구광역시 서구 내당동 968-32,서구,내당,35.8644047,128.572169
대구광역시 서구 중리동 1136-4,서구,중리,35.8632626,128.5436996
대구광역시 서구 상리동 149-1,서구,상리,35.8806418,128.5255343
대구광역시 서구 평리동 675-16,서구,평리,35.8784389,128.5587916
대구광역시 서구 평리동 1085-1,서구,평리,35.8737735,128.5556929
대구광역시 북구 노원동2가 187-1,북구,노원동2,35.8911878,128.5740191
대구광역시 북구 노원동3가 238,북구,노원동3,35.8943722,128.5629601
대구광역시 북구 노원동3가 215-4,북구,노원동3,35.8964655,128.5674612
대구광역시 북구 노원동3가 246-2,북구,노원동3,35.8960912,128.5616501
대구광역시 북구 칠성동1가 17930,북구,칠성동1,35.8755599,128.6049983
대구광역시 북구 칠성동1가 107-5,북구,칠성동1,35.8745047,128.6052321
대구광역시 북구 산격동 1437-94,북구,산격,35.8948148,128.6016459
대구광역시 북구 산격동 1180-26,북구,산격,35.8977459,128.5995384
대구광역시 북구 산격동 848,북구,산격,35.8930569,128.5947966
대구광역시 북구 복현동 614-9,북구,복현,35.890665,128.6161627
대구광역시 북구 노원동3가 191-1,북구,노원동3,35.8973837,128.5655988
대구광역시 북구 산격동 1411-67,북구,산격,35.8933687,128.6077622
대구광역시 북구 노원동3가 187-47,북구,노원동3,35.8983428,128.5677827
대구광역시 북구 노원동3가 872,북구,노원동3,35.8899279,128.5673969
대구광역시 북구 조야동 127-7,북구,조야,35.91341269999999,128.5769818
대구광역시 북구 복현동 462,북구,복현,35.8924209,128.6200965
대구광역시 북구 산격동 1251-5,북구,산격,35.896493,128.6081204
대구광역시 북구 산격동 1339,북구,산격,35.89235660000001,128.6091598
대구광역시 북구 대현동 272-19,북구,대현,35.881043,128.6097765
대구광역시 북구 대현동 484-8,북구,대현,35.88296649999999,128.605396
대구광역시 북구 산격동 1258,북구,산격,35.8982468,128.610707
대구광역시 북구 산격동 1180-46,북구,산격,35.8976067,128.5982617
대구광역시 북구 복현동 442-7,북구,복현,35.89244360000001,128.616488
대구광역시 북구 노원동3가 492,북구,노원동3,35.8939433,128.5542906
대구광역시 북구 노원동3가 139,북구,노원동3,35.8971905,128.5727777
대구광역시 북구 검단동 1087,북구,검단,35.9153157,128.6259689
대구광역시 북구 칠성동1가 318,북구,칠성동1,35.8745757,128.6084937
대구광역시 북구 산격동 1146,북구,산격,35.8947853,128.5997115
대구광역시 북구 노원동3가 870-8,북구,노원동3,35.8892788,128.5682664
대구광역시 북구 노원동1가 141,북구,노원동1,35.8895701,128.5793263
대구광역시 북구 칠성동1가 198-1,북구,칠성동1,35.8756248,128.6019896
대구광역시 북구 칠성동1가 361-1,북구,칠성동1,35.8743266,128.6072357
대구광역시 북구 팔달동 150,북구,팔달,35.89879130000001,128.5503002
대구광역시 북구 칠성동1가 85,북구,칠성동1,35.8754756,128.6038586
대구광역시 북구 칠성동1가 143-5,북구,칠성동1,35.8749535,128.6063555
대구광역시 북구 칠성동1가 136-5,북구,칠성동1,35.8749587,128.6076279
대구광역시 북구 칠성동1가 276-102,북구,칠성동1,35.87699850000001,128.6044081
대구광역시 북구 칠성동1가 18-71,북구,칠성동1,35.8748888,128.602471
대구광역시 북구 침산동 1192,북구,침산,35.8957938,128.5840279
대구광역시 북구 칠성동1가 81,북구,칠성동1,35.8752206,128.6035474
대구광역시 북구 학정동 350,북구,학정,35.9526818,128.5645372
대구광역시 북구 노원동2가 363-6,북구,노원동2,35.8892408,128.5706277
대구광역시 북구 산격동 1202-1,북구,산격,35.8996086,128.6053418
대구광역시 북구 산격동 14-22,북구,산격,35.9108585,128.6070747
대구광역시 북구 검단동 838-25,북구,검단,35.9132505,128.6209423
대구광역시 북구 대현동 175-15,북구,대현,35.8859474,128.6057758
대구광역시 북구 산격동 산63-2,북구,산격,35.8987956,128.6048574
대구광역시 북구 산격동 1197-33,북구,산격,35.8973173,128.6047453
대구광역시 북구 침산동 134-6,북구,침산,35.8893148,128.5936837
대구광역시 북구 노원동1가 63,북구,노원동1,35.8915887,128.5788878
대구광역시 동구 방촌동 721-2,동구,방촌,35.8867691,128.6625437
대구광역시 동구 효목동 138-1,동구,효목,35.8832082,128.6432323
대구광역시 동구 효목동 545,동구,효목,35.8752138,128.6402279
대구광역시 동구 신천동 535-18,동구,신천,35.8749368,128.6159071
대구광역시 동구 신암동 607-41,동구,신암,35.8837146,128.6193298
대구광역시 동구 신암동 680-18,동구,신암,35.8885389,128.6260059
대구광역시 동구 신암동 603-451,동구,신암,35.8825834,128.6198374
대구광역시 동구 신천동 278,동구,신천,35.8742507,128.6205502
대구광역시 동구 방촌동 1067-2,동구,방촌,35.88132239999999,128.6643515
대구광역시 동구 신천동 685-8,동구,신천,35.87146,128.6177865
대구광역시 동구 신천동 497-40,동구,신천,35.8732835,128.6309921
대구광역시 동구 효목동 545,동구,효목,35.8752138,128.6402279
대구광역시 동구 신암동 601-21,동구,신암,35.883603,128.620086
대구광역시 동구 신천동 415-1,동구,신천,35.8744702,128.6326143
대구광역시 동구 효목동 138-1,동구,효목,35.8832082,128.6432323
대구광역시 동구 효목동 543-1,동구,효목,35.87489,128.6396883
대구광역시 동구 신암동 680-18,동구,신암,35.8885389,128.6260059
대구광역시 동구 신암동 130-109,동구,신암,35.8879909,128.6310645
대구광역시 동구 신암동 603-451,동구,신암,35.8825834,128.6198374
대구광역시 동구 신천동 278,동구,신천,35.8742507,128.6205502
대구광역시 동구 신천동 683-5,동구,신천,35.8713118,128.6178546
대구광역시 동구 효목동 545,동구,효목,35.8752138,128.6402279
대구광역시 동구 신천동 415-1,동구,신천,35.8744702,128.6326143
대구광역시 동구 방촌동 721-2,동구,방촌,35.8867691,128.6625437
대구광역시 동구 봉무동 789,동구,봉무,35.929153,128.6352938
대구광역시 동구 내곡동 181,동구,내곡,35.8870078,128.7589566
대구광역시 동구 지저동 694-13,동구,지저,35.8964589,128.6370063
대구광역시 동구 지저동 671-11,동구,지저,35.8964981,128.6382416
대구광역시 동구 신암동 601-21,동구,신암,35.883603,128.620086
대구광역시 동구 불로동 449-1,동구,불로,35.91018,128.6416075
대구광역시 동구 능성동 613-15,동구,능성,35.9705585,128.7271349
대구광역시 동구 미곡동 776,동구,미곡,35.95643829999999,128.6741195
대구광역시 동구 율하동 935,동구,율하,35.869944,128.7020385
대구광역시 동구 검사동 743-5,동구,검사,35.8870785,128.6616184
대구광역시 동구 신암동 130-109,동구,신암,35.8879909,128.6310645
대구광역시 동구 율하동 896-7,동구,율하,35.8704313,128.697072
대구광역시 동구 입석동 862-9,동구,입석,35.892598,128.6488235
대구광역시 동구 신암동 607-41,동구,신암,35.8837146,128.6193298
대구광역시 동구 신평동 756-8,동구,신평,35.8801476,128.674198
대구광역시 동구 방촌동 1067-2,동구,방촌,35.88132239999999,128.6643515
대구광역시 동구 신평동 756-8,동구,신평,35.8801476,128.674198
대구광역시 동구 지저동 671-14,동구,지저,35.8961693,128.6387886
대구광역시 달성군 지2리 431-3,달성군,지2,35.7322821,128.5089708
대구광역시 달서구 호산동 210,달서구,호산,35.8555706,128.4775283
대구광역시 달서구 본동 1052,달서구,본,35.8352011,128.5387181
대구광역시 달서구 상인동 877-3,달서구,상인,35.8198514,128.5466242
대구광역시 달서구 본동 1095,달서구,본,35.8340543,128.539799
대구광역시 달서구 상인동 1579-1,달서구,상인,35.8096006,128.5508836
대구광역시 달서구 상인동 1421-22,달서구,상인,35.8125185,128.5374704
대구광역시 달서구 호산동 210,달서구,호산,35.8555706,128.4775283
대구광역시 남구 봉덕동 686-57,남구,봉덕,35.8432537,128.5970909
대구광역시 남구 이천동 754-13,남구,이천,35.8485526,128.6005058
대구광역시 남구 봉덕동 531-1,남구,봉덕,35.8447962,128.6026489
대구광역시 남구 대명동 1160,남구,대명,35.8355516,128.5590741
대구광역시 남구 대명동 1149-1,남구,대명,35.8347515,128.5575145
대구광역시 남구 대명동 2563-78,남구,대명,35.8577053,128.5772028
대구광역시 남구 대명동 1158-1,남구,대명,35.8361546,128.5584353
대구광역시 남구 대명동 1417-2,남구,대명,35.8372107,128.5634889
대구광역시 남구 대명동 3023-23,남구,대명,35.8502415,128.5730415
