동이름,사고건수,최소년도,최대년도,몇년치,평균 사건 건수
대명동,608,2020,2023,4,152.0
비산동,456,2020,2023,4,114.0
다사읍,416,2020,2023,4,104.0
상인동,221,2020,2023,4,55.25
신암동,218,2020,2023,4,54.5
송현동,211,2020,2023,4,52.75
범어동,209,2020,2023,4,52.25
신천동,198,2020,2023,4,49.5
평리동,198,2020,2023,4,49.5
월성동,194,2020,2023,4,48.5
침산동,188,2020,2023,4,47.0
두류동,185,2020,2023,4,46.25
현풍읍,182,2020,2023,4,45.5
지산동,174,2020,2023,4,43.5
산격동,169,2020,2023,4,42.25
봉덕동,167,2020,2023,4,41.75
신당동,160,2020,2023,4,40.0
논공읍,147,2020,2023,4,36.75
만촌동,147,2020,2023,4,36.75
화원읍,140,2020,2023,4,35.0
유가읍,139,2020,2023,4,34.75
두산동,139,2020,2023,4,34.75
하빈면,138,2020,2023,4,34.5
노원동3가,137,2020,2023,4,34.25
이곡동,130,2020,2023,4,32.5
태전동,129,2020,2023,4,32.25
갈산동,128,2020,2023,4,32.0
내당동,128,2020,2023,4,32.0
성당동,127,2020,2023,4,31.75
중리동,127,2020,2023,4,31.75
남산동,126,2020,2023,4,31.5
효목동,125,2020,2023,4,31.25
용산동,121,2020,2023,4,30.25
가창면,120,2020,2023,4,30.0
감삼동,116,2020,2023,4,29.0
이현동,112,2020,2023,4,28.0
구지면,111,2020,2023,4,27.75
율하동,110,2020,2023,4,27.5
읍내동,104,2020,2023,4,26.0
칠성동2가,98,2020,2023,4,24.5
호산동,91,2020,2023,4,22.75
대현동,91,2020,2023,4,22.75
상동,90,2020,2023,4,22.5
황금동,89,2020,2023,4,22.25
범물동,87,2020,2023,4,21.75
방촌동,86,2020,2023,4,21.5
월암동,84,2020,2023,4,21.0
동천동,82,2020,2023,4,20.5
대천동,82,2020,2023,4,20.5
본리동,79,2020,2023,4,19.75
장기동,79,2020,2023,4,19.75
대신동,78,2020,2023,4,19.5
구암동,73,2020,2023,4,18.25
진천동,72,2020,2023,4,18.0
용계동,71,2020,2023,4,17.75
본동,71,2020,2023,4,17.75
도원동,67,2020,2023,4,16.75
옥포읍,65,2020,2023,4,16.25
복현동,64,2020,2023,4,16.0
군위읍,15,2023,2023,1,15.0
중동,58,2020,2023,4,14.5
장동,57,2020,2023,4,14.25
신매동,56,2020,2023,4,14.0
