군·구,동·읍·면,세대수 (세대),등록인구 (명),등록인구_남(명),등록인구_여(명),한국인 (명),한국인_남(명),한국인_여(명),외국인 (명),외국인_남(명),외국인_여(명),세대당 인구 (명),65세이상고령자 (명),평균연령 (세),인구밀도 (명/㎢),면적 (㎢),주소,고령자_비율,위도,경도
중구,동인동,5056.0,8475.0,4192.0,4283.0,8372.0,4149.0,4223.0,103.0,43.0,60.0,1.66,2003.0,47.4,8561.0,0.99,대구광역시 중구 동인동,0.23634218289085546,35.8678902715489,128.609144033992
중구,삼덕동,4160.0,6744.0,3264.0,3480.0,6643.0,3219.0,3424.0,101.0,45.0,56.0,1.6,899.0,39.9,10538.0,0.64,대구광역시 중구 삼덕동,0.13330367734282325,35.8655243144641,128.608976627949
중구,성내1동,3555.0,4948.0,2356.0,2592.0,4868.0,2316.0,2552.0,80.0,40.0,40.0,1.37,861.0,42.6,5498.0,0.9,대구광역시 중구 성내1동,0.1740097008892482,35.8666446420244,128.595789411129
중구,성내2동,3522.0,6019.0,3014.0,3005.0,5872.0,2932.0,2940.0,147.0,82.0,65.0,1.67,1172.0,44.2,7920.0,0.76,대구광역시 중구 성내2동,0.19471673035387937,35.8683709890346,128.590372564871
중구,성내3동,4119.0,9081.0,4496.0,4585.0,9030.0,4473.0,4557.0,51.0,23.0,28.0,2.19,1221.0,39.7,11495.0,0.79,대구광역시 중구 성내3동,0.13445655764783615,35.8725850026911,128.585718061237
중구,대신동,3295.0,7577.0,3669.0,3908.0,7558.0,3663.0,3895.0,19.0,6.0,13.0,2.29,1539.0,44.9,14571.0,0.52,대구광역시 중구 대신동,0.20311468919097267,35.8656000853423,128.576350209281
중구,남산1동,2496.0,4321.0,2035.0,2286.0,4260.0,2008.0,2252.0,61.0,27.0,34.0,1.71,967.0,46.3,11079.0,0.39,대구광역시 중구 남산1동,0.2237907891691738,35.8593406275678,128.590440088879
중구,남산2동,3335.0,7327.0,3471.0,3856.0,7272.0,3441.0,3831.0,55.0,30.0,25.0,2.18,1188.0,41.7,19282.0,0.38,대구광역시 중구 남산2동,0.1621400300259315,35.8640456753962,128.589542181569
중구,남산3동,2768.0,6255.0,2839.0,3416.0,6203.0,2818.0,3385.0,52.0,21.0,31.0,2.24,1535.0,47.6,15638.0,0.4,대구광역시 중구 남산3동,0.2454036770583533,35.8599098628603,128.585554074278
중구,남산4동,6901.0,16536.0,7747.0,8789.0,16476.0,7722.0,8754.0,60.0,25.0,35.0,2.39,3245.0,43.7,36747.0,0.45,대구광역시 중구 남산4동,0.1962385099177552,35.8582317998805,128.580503806662
중구,대봉1동,3556.0,7931.0,3693.0,4238.0,7823.0,3648.0,4175.0,108.0,45.0,63.0,2.2,1616.0,45.0,13442.0,0.59,대구광역시 중구 대봉1동,0.20375740764090278,35.8616315715938,128.604381268093
중구,대봉2동,2108.0,4723.0,2256.0,2467.0,4687.0,2240.0,2447.0,36.0,16.0,20.0,2.22,867.0,43.9,18892.0,0.25,대구광역시 중구 대봉2동,0.18356976497988567,35.8587715630281,128.599364322671
동구,신암1동,5400.0,11002.0,5488.0,5514.0,10945.0,5467.0,5478.0,57.0,21.0,36.0,2.03,2691.0,47.1,18337.0,0.6,대구광역시 동구 신암1동,0.24459189238320306,35.884298713376,128.616354775617
동구,신암2동,5080.0,11595.0,5520.0,6075.0,11562.0,5509.0,6053.0,33.0,11.0,22.0,2.28,2461.0,44.8,30513.0,0.38,대구광역시 동구 신암2동,0.2122466580422596,35.8799718431662,128.612705831039
동구,신암3동,4799.0,10959.0,5369.0,5590.0,10917.0,5357.0,5560.0,42.0,12.0,30.0,2.27,2068.0,43.4,18265.0,0.6,대구광역시 동구 신암3동,0.1887033488456976,35.8796114790259,128.623133473086
