시설번호,시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,설치연도,출수압력,관할기관명,관할기관전화번호,데이터기준일자,geometry,index_right,BASE_DATE,ADM_CD,ADM_NM
중부-남산-상1-1-7,1,대구광역시,남구,27200,대구광역시 남구 성당로 242,대구광역시 남구 대명3동 2297-1,35.8542522466,128.5741931,현대까멜리아 앞,남산119안전센터,Y,1988,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5741931 35.8542522466),1065,20240630,22040580,대명3동
중부-남산-상1-1-8,1,대구광역시,남구,27200,대구광역시 남구 성당로 250,대구광역시 남구 대명3동 2296-29,35.8550934262,128.5743305302,대구대정문 서편 50M,남산119안전센터,Y,1988,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5743305302 35.8550934262),1065,20240630,22040580,대명3동
중부-남산-하1-1-10,2,대구광역시,남구,27200,대구광역시 남구 성당로 266,대구광역시 남구 대명3동 2289-2,35.8564467089,128.5745002005,한국 농어촌 공사 앞,남산119안전센터,N,1991,4.2,중부소방서,053-601-4571,2024-02-07,POINT (128.5745002005 35.8564467089),1065,20240630,22040580,대명3동
중부-남산-하1-1-11,2,대구광역시,남구,27200,대구광역시 남구 성당로 282,대구광역시 남구 대명3동 2280-9,35.85802411,128.5745782581,성당주유소북편 (공중전화부스앞),남산119안전센터,N,1988,4.5,중부소방서,053-601-4571,2024-02-07,POINT (128.5745782581 35.85802411),1065,20240630,22040580,대명3동
중부-남산-하1-1-13,2,대구광역시,남구,27200,대구광역시 남구 명덕로 32,대구광역시 남구 대명3동 2274-8,35.8596817081,128.5747362159,다빈치 커피숖 앞,남산119안전센터,N,1988,4.3,중부소방서,053-601-4571,2024-02-07,POINT (128.5747362159 35.8596817081),1065,20240630,22040580,대명3동
중부-남산-하1-1-14,2,대구광역시,남구,27200,대구광역시 남구 명덕로 46,대구광역시 남구 대명3동 2275-1,35.85919373,128.5758705327,성모의지 재활연구소 앞,남산119안전센터,N,1991,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5758705327 35.85919373),1065,20240630,22040580,대명3동
중부-남산-하1-1-15,2,대구광역시,남구,27200,대구광역시 남구 명덕로 14길 16,대구광역시 남구 대명3동 2277-1,35.858020087,128.576885978,대명시장 공영주차장 동편,남산119안전센터,N,1971,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.576885978 35.858020087),1065,20240630,22040580,대명3동
중부-남산-하1-1-16,2,대구광역시,중구,27110,대구광역시 남구 성당로60길 52,대구광역시 남구 대명3동 2563-78,35.8575808836,128.5770563863,대명시장지장사앞,남산119안전센터,N,1971,4.3,중부소방서,053-601-4571,2024-02-07,POINT (128.5770563863 35.8575808836),1065,20240630,22040580,대명3동
중부-남산-상1-1-17,1,대구광역시,남구,27200,대구광역시 남구 명덕로 64,대구광역시 남구 대명3동 2569-2,35.8583814014,128.5777661,대명시장 입구 참마트 앞,남산119안전센터,N,1988,4.5,중부소방서,053-601-4571,2024-02-07,POINT (128.5777661 35.8583814014),1065,20240630,22040580,대명3동
중부-남산-하1-1-18,2,대구광역시,남구,27200,대구광역시 남구 명덕로 76-1,대구광역시 남구 대명3동 2566-2,35.85783611,128.5788610744,삼양전기조명 앞,남산119안전센터,N,1991,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5788610744 35.85783611),1065,20240630,22040580,대명3동
중부-남산-하1-1-19,2,대구광역시,남구,27200,대구광역시 남구 명덕로 86,대구광역시 남구 대명3동 2519-13,35.8575285789,128.5797065506,센스미용실 앞,남산119안전센터,N,1971,3.8,중부소방서,053-601-4571,2024-02-07,POINT (128.5797065506 35.8575285789),1065,20240630,22040580,대명3동
중부-남산-상1-1-20,1,대구광역시,남구,27200,대구광역시 남구 성당로 60길 83,대구광역시 남구 대명3동 2534-17,35.8570474882,128.5786828014,건오그린빌 앞,남산119안전센터,Y,1991,3.3,중부소방서,053-601-4571,2024-02-07,POINT (128.5786828014 35.8570474882),1065,20240630,22040580,대명3동
중부-남산-상1-1-21,1,대구광역시,중구,27110,대구광역시 중구 명덕로 23,대구광역시 중구 남산동 2947-4,35.8608444959,128.5746439797,위드병원건너편,남산119안전센터,Y,1971,4.3,중부소방서,053-601-4571,2024-02-07,POINT (128.5746439797 35.8608444959),1136,20240630,22010670,남산4동
중부-남산-하1-1-25,2,대구광역시,중구,27110,대구광역시 중구 명덕로 49,대구광역시 중구 남산4동 2998-14,35.8593794859,128.5765206977,NH농협은행주차장입구앞,남산119안전센터,N,1971,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5765206977 35.8593794859),1136,20240630,22010670,남산4동
중부-남산-상1-1-26,1,대구광역시,중구,27110,대구광역시 중구 명덕로 57-1,대구광역시 중구 남산4동 2271-11,35.859054755,128.5773343278,남대구정형외과앞,남산119안전센터,N,1971,4.0,중부소방서,053-601-4571,2024-02-07,POINT (128.5773343278 35.859054755),1136,20240630,22010670,남산4동
중부-남산-상1-1-27,1,대구광역시,중구,27110,대구광역시 중구 남산로1길 82,대구광역시 중구 남산4동 2611-16,35.8588769215,128.5787845058,새마을금고 서편 10M,남산119안전센터,N,1971,3.5,중부소방서,053-601-4571,2024-02-07,POINT (128.5787845058 35.8588769215),1136,20240630,22010670,남산4동
