Unnamed: 0,대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
80001,대구광역시 달서구 대곡동 23-11번지,5,0,15.5,철근콘크리트구조,"철근콘크리트조,경량철골조",단독주택,0,2004,35.8079571745356,128.511638645205
80002,대구광역시 달서구 대곡동 23-12번지,4,0,12.4,철근콘크리트구조,철근콘크리트구조,단독주택,0,2017,35.8083659412375,128.511746181414
80003,대구광역시 달서구 대곡동 23-13번지,4,0,13.2,철근콘크리트구조,철근콘크리트구조,단독주택,0,2017,35.8083314266353,128.512011260496
80004,대구광역시 달서구 대곡동 29-1번지,5,1,18.1,철근콘크리트구조,철근콘크리트조,제2종근린생활시설,0,1991,35.8087085309324,128.511261475822
80005,대구광역시 달서구 대곡동 29-2번지,3,1,16.3,철근콘크리트구조,철근콘크리트조,근린생활시설,0,1997,35.8084669726288,128.511229351422
80006,대구광역시 달서구 대곡동 29-5번지,4,1,14.05,철근콘크리트구조,"철근콘크리트조, 시멘트벽돌조",제2종근린생활시설,0,1990,35.8085732957331,128.511058450897
80007,대구광역시 달서구 대곡동 29-7번지,3,1,14.15,철근콘크리트구조,철근콘크리트조,제1종근린생활시설,0,1997,35.8080921056778,128.511493180168
80008,대구광역시 달서구 대곡동 30-1번지,1,0,6.45,경량철골구조,경량철골구조,자동차관련시설,0,2008,35.8086386310971,128.511646030284
80009,대구광역시 달서구 대곡동 30-2번지,3,1,11.1,철근콘크리트구조,"철근콘크리트조, 경량철골조",근린생활시설,0,    ,35.8087468910957,128.511844230389
80010,대구광역시 달서구 대곡동 30-3번지,1,0,5.93,일반철골구조,철골구조,제2종근린생활시설,0,2006,35.808905370765,128.512047587158
80011,대구광역시 달서구 대곡동 30-11번지,1,0,6.05,경량철골구조,경량철골구조,제2종근린생활시설,0,2010,35.8087093161579,128.511750809668
80012,대구광역시 달서구 대곡동 31-2번지,5,1,19.1,일반철골구조,일반철골구조,제2종근린생활시설,0,1987,35.8089875612842,128.512290763446
80013,대구광역시 달서구 대곡동 32-2번지,6,1,21.15,철근콘크리트구조,철근콘크리트조,제1종근린생활시설,0,1986,35.8093115065569,128.51278667158
80014,대구광역시 달서구 대곡동 35번지,4,0,13.85,철근콘크리트구조,철근콘크리트구조,단독주택,0,2015,35.8085447574284,128.512209793165
80015,대구광역시 달서구 대곡동 35-3번지,4,0,12.55,철근콘크리트구조,철근콘크리트구조,단독주택,0,2015,35.8086294271904,128.512320369628
80016,대구광역시 달서구 대곡동 36번지,3,0,11.0,철근콘크리트구조,철근콘크리트구조,제2종근린생활시설,0,2006,35.8083013537461,128.512138136086
80017,대구광역시 달서구 대곡동 37번지,2,0,9.95,철근콘크리트구조,철근콘크리트조,단독주택,0,2007,35.8083213982955,128.51234993009
80018,대구광역시 달서구 대곡동 37번지,1,0,9.95,철근콘크리트구조,철근콘크리트조,단독주택,0,2002,35.8083213982955,128.51234993009
80019,대구광역시 달서구 대곡동 37-2번지,3,1,11.2,철근콘크리트구조,철근콘크리트조,노유자시설,0,1997,35.8085169083288,128.512510843241
80020,대구광역시 달서구 대곡동 39번지,1,0,4.1,경량철골구조,경량철골조,제1종근린생활시설,0,2003,35.80838312101,128.512679893186
80021,대구광역시 달서구 대곡동 39번지,1,0,4.1,경량철골구조,경량철골조,제2종근린생활시설,0,2003,35.80838312101,128.512679893186
80022,대구광역시 달서구 대곡동 39번지,1,0,5.0,경량철골구조,경량철골조,제2종근린생활시설,0,2003,35.80838312101,128.512679893186
80023,대구광역시 달서구 대곡동 39-1번지,2,0,6.9,철근콘크리트구조,"철근콘크리트조,벽돌구조",제2종근린생활시설,0,2002,35.8081418391611,128.512618674279
80024,대구광역시 달서구 대곡동 39-1번지,2,0,6.9,철근콘크리트구조,철근콘크리트조,제2종근린생활시설,0,2002,35.8081418391611,128.512618674279
80025,대구광역시 달서구 대곡동 39-4번지,1,0,3.7,경량철골구조,경량철골구조,제2종근린생활시설,0,2004,35.807583888253,128.512493037906
80026,대구광역시 달서구 대곡동 39-4번지,1,0,4.18,경량철골구조,경량철골구조,제2종근린생활시설,0,2004,35.807583888253,128.512493037906
80027,대구광역시 달서구 대곡동 39-4번지,0,0,0.0,경량철골구조,경량철골구조,분뇨.쓰레기처리시설,0,,35.807583888253,128.512493037906
80028,대구광역시 달서구 대곡동 39-4번지,1,0,5.2,일반철골구조,"일반철골구조,경량철골조",제1종근린생활시설,0,2005,35.807583888253,128.512493037906
80029,대구광역시 달서구 대곡동 39-16번지,1,0,6.05,블록구조,시멘트블럭조,제2종근린생활시설,0,1984,35.8075617751821,128.51229525649
80030,대구광역시 달서구 대곡동 39-17번지,1,0,4.9,철근콘크리트구조,철근콘크리트조,제2종근린생활시설,0,1996,35.8080748963434,128.512424245219
80031,대구광역시 달서구 대곡동 39-20번지,1,0,3.5,철근콘크리트구조,철근콘크리트조,근린생활시설,0,1994,35.8084666245444,128.51309069815
80032,대구광역시 달서구 대곡동 39-32번지,1,0,7.0,일반철골구조,일반철골구조,위험물저장및처리시설,0,2004,35.8071146208521,128.512259231169
80033,대구광역시 달서구 대곡동 39-32번지,1,0,4.05,철근콘크리트구조,철근콘크리트구조,위험물저장및처리시설,0,2004,35.8071146208521,128.512259231169
80034,대구광역시 달서구 대곡동 39-33번지,1,0,3.9,경량철골구조,경량철골구조,자동차관련시설,0,2006,35.8067591795322,128.512182242926
