대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
대구광역시 군위군 삼국유사면 양지리 385번지,1,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1992,36.1669513615603,128.826276987285
대구광역시 군위군 삼국유사면 양지리 386번지,1,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1985,36.1670543020817,128.826120909084
대구광역시 군위군 삼국유사면 양지리 387번지,1,0,0.0,일반목구조,목조,단독주택,0,1905,36.1669433113402,128.826007317888
대구광역시 군위군 삼국유사면 양지리 388-1번지,1,0,4.0,기타강구조,조립식판넬,단독주택,0,1999,36.1671306782493,128.825951879003
대구광역시 군위군 삼국유사면 양지리 389-2번지,1,0,4.68,경량철골구조,경량철골구조,단독주택,0,2017,36.1668082532878,128.82559301553
대구광역시 군위군 삼국유사면 양지리 390번지,1,0,0.0,일반목구조,목조,단독주택,0,1974,36.1671966665737,128.825743157434
대구광역시 군위군 삼국유사면 양지리 393번지,1,0,0.0,일반목구조,목조,단독주택,0,1945,36.1673660183078,128.825834988195
대구광역시 군위군 삼국유사면 양지리 393번지,1,0,4.5,기타강구조,샌드위치판넬,단독주택,0,2007,36.1673660183078,128.825834988195
대구광역시 군위군 삼국유사면 양지리 394번지,1,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1993,36.1674962772345,128.82569554475
대구광역시 군위군 삼국유사면 양지리 395번지,1,0,0.0,일반목구조,목조,단독주택,0,1927,36.1675456238423,128.825532220576
대구광역시 군위군 삼국유사면 양지리 396번지,1,0,4.0,강파이프구조,강파이프조,창고시설,0,2007,36.1675660787271,128.825343111169
대구광역시 군위군 삼국유사면 양지리 396번지,1,0,4.5,기타강구조,샌드위치판넬,단독주택,0,2007,36.1675660787271,128.825343111169
대구광역시 군위군 삼국유사면 양지리 396번지,1,0,0.0,일반목구조,돌담조,단독주택,0,1975,36.1675660787271,128.825343111169
대구광역시 군위군 삼국유사면 양지리 397번지,1,0,0.0,일반목구조,목조,단독주택,0,1860,36.1672737032978,128.825223535311
대구광역시 군위군 삼국유사면 양지리 398번지,1,0,5.35,경량철골구조,경량철골구조,창고시설,0,2014,36.1672412575932,128.825359913844
대구광역시 군위군 삼국유사면 양지리 399번지,1,0,4.35,경량철골구조,경량철골구조,단독주택,0,2018,36.1673259167954,128.825587132742
대구광역시 군위군 삼국유사면 양지리 400번지,1,0,0.0,일반목구조,목조,단독주택,0,1905,36.1671012692561,128.825499242856
대구광역시 군위군 삼국유사면 양지리 402번지,1,0,5.0,강파이프구조,강파이프조,창고시설,0,2006,36.167065023075,128.825282148879
대구광역시 군위군 삼국유사면 양지리 402번지,1,0,0.0,블록구조,시멘트블럭조,단독주택,0,1979,36.167065023075,128.825282148879
대구광역시 군위군 삼국유사면 양지리 403번지,1,0,0.0,일반목구조,목조,단독주택,0,1855,36.1668806393922,128.825206973446
대구광역시 군위군 삼국유사면 양지리 404번지,1,0,0.0,블록구조,시멘트블럭조,단독주택,0,1993,36.167012273863,128.824994995769
대구광역시 군위군 삼국유사면 양지리 405번지,1,0,4.0,기타강구조,샌드위치판넬조,창고시설,0,1998,36.167142725076,128.82507336517
대구광역시 군위군 삼국유사면 양지리 413번지,1,0,4.0,벽돌구조,시멘트벽돌,단독주택,0,1998,36.167249022714,128.825022044749
대구광역시 군위군 삼국유사면 양지리 413번지,1,0,0.0,일반목구조,목조,단독주택,0,1870,36.167249022714,128.825022044749
대구광역시 군위군 삼국유사면 양지리 414번지,1,0,0.0,일반목구조,목조,단독주택,0,1979,36.1673764836894,128.825119236768
대구광역시 군위군 삼국유사면 양지리 415번지,1,0,0.0,일반목구조,목조,종교시설,0,1888,36.167420863374,128.824986135095
대구광역시 군위군 삼국유사면 양지리 416번지,1,0,0.0,일반목구조,목조,단독주택,0,1954,36.16759619007,128.825087993462
대구광역시 군위군 삼국유사면 양지리 418번지,2,0,6.0,경량철골구조,경량철골구조,단독주택,0,2018,36.1677839284629,128.825025892917
