Unnamed: 0,대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
60001,대구광역시 달서구 용산동 884-3번지,4,0,14.3,철근콘크리트구조,철근콘크리트구조,단독주택,0,2019,35.8547701963065,128.533329767016
60002,대구광역시 달서구 용산동 884-4번지,2,0,7.4,벽돌구조,시멘트벽돌조,단독주택,0,1987,35.8545643502961,128.533324474234
60003,대구광역시 달서구 용산동 884-5번지,2,0,7.5,벽돌구조,시멘트벽돌조,단독주택,0,1991,35.8545616936151,128.533490242571
60004,대구광역시 달서구 용산동 884-6번지,2,0,7.7,벽돌구조,시멘트벽돌조,단독주택,0,1989,35.8546663748424,128.533492812342
60005,대구광역시 달서구 용산동 884-7번지,4,0,13.6,철근콘크리트구조,철근콘크리트구조,단독주택,0,2020,35.8548059207198,128.533496164365
60006,대구광역시 달서구 용산동 884-9번지,2,0,7.5,벽돌구조,시멘벽돌조,단독주택,0,1990,35.8550328499218,128.533501753035
60007,대구광역시 달서구 용산동 884-10번지,2,0,7.3,벽돌구조,시멘트벽돌조,단독주택,0,1993,35.8553250924337,128.533508931913
60008,대구광역시 달서구 용산동 884-11번지,4,0,10.8,철근콘크리트구조,철근콘크리트구조,단독주택,0,2007,35.8554283321556,128.533511474004
60009,대구광역시 달서구 용산동 884-12번지,3,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1993,35.8555175187525,128.533513634717
60010,대구광역시 달서구 용산동 884-13번지,2,0,7.5,벽돌구조,시멘트벽돌조,단독주택,0,1988,35.8546693904924,128.533327161395
60011,대구광역시 달서구 용산동 884-15번지,3,1,11.6,철근콘크리트구조,"철근콘크리트, 시멘트벽돌조",제1종근린생활시설,0,1991,35.8544830031975,128.533322354088
60012,대구광역시 달서구 용산동 884-16번지,2,0,7.5,벽돌구조,시멘트벽돌조,단독주택,0,1990,35.8552237446667,128.533506426277
60013,대구광역시 달서구 용산동 884-17번지,2,0,7.4,벽돌구조,시멘트벽돌조,단독주택,0,1988,35.8551271718366,128.533504012625
60014,대구광역시 달서구 용산동 884-18번지,2,0,7.7,벽돌구조,시멘트벽돌조,단독주택,0,1989,35.8552266702705,128.533340772436
60015,대구광역시 달서구 용산동 884-19번지,2,0,7.7,벽돌구조,세멘벽돌조,단독주택,0,1988,35.8551296455537,128.533338460977
60016,대구광역시 달서구 용산동 884-20번지,1,0,5.5,경량철골구조,경량철골구조,제2종근린생활시설,0,2007,35.8550349632582,128.533336194642
60017,대구광역시 달서구 용산동 884-21번지,2,0,7.5,벽돌구조,시멘트벽돌조,단독주택,0,1988,35.8549369475129,128.533333864116
60018,대구광역시 달서구 용산동 884-22번지,2,0,7.5,벽돌구조,시멘트벽돌조,단독주택,0,1989,35.8544797144585,128.533488220775
60019,대구광역시 달서구 용산동 884-23번지,2,0,7.5,벽돌구조,시멘벽돌조,단독주택,0,1990,35.8549348341847,128.533499422306
60020,대구광역시 달서구 용산동 886번지,3,0,10.1,벽돌구조,시멘트벽돌조,단독주택,0,1994,35.8555001297566,128.533746313223
60021,대구광역시 달서구 용산동 886-1번지,2,0,7.5,벽돌구조,시멘트벽돌조,단독주택,0,1989,35.8551911341974,128.533738478603
60022,대구광역시 달서구 용산동 886-2번지,2,0,7.5,벽돌구조,시멘트벽돌조,단독주택,0,1989,35.8549862764446,128.533733425123
