Unnamed: 0,대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
240001,대구광역시 수성구 만촌동 245번지,5,0,0.0,철근콘크리트구조,철근콘크리트조,공동주택,0,1985.0,35.875960391151,128.649800434265
240002,대구광역시 수성구 만촌동 245번지,5,0,0.0,철근콘크리트구조,철근콘크리트조,공동주택,0,1985.0,35.875960391151,128.649800434265
240003,대구광역시 수성구 만촌동 245번지,1,0,0.0,철근콘크리트구조,철근콘크리트조,제1종근린생활시설,0,1985.0,35.875960391151,128.649800434265
240004,대구광역시 수성구 만촌동 245번지,5,0,0.0,철근콘크리트구조,철근콘크리트조,공동주택,0,1985.0,35.875960391151,128.649800434265
240005,대구광역시 수성구 만촌동 254번지,4,1,11.6,철근콘크리트구조,철근콘크리트조,교육연구시설,0,1997.0,35.8751297384951,128.650999472953
240006,대구광역시 수성구 만촌동 254번지,1,0,0.0,경량철골구조,경량철골구조,교육연구시설,0,1997.0,35.8751297384951,128.650999472953
240007,대구광역시 수성구 만촌동 254번지,1,0,0.0,벽돌구조,(시멘트)벽돌구조,교육연구시설,0,1997.0,35.8751297384951,128.650999472953
240008,대구광역시 수성구 만촌동 254번지,4,1,15.1,철근콘크리트구조,철근콘크리트조,교육연구시설,0,1997.0,35.8751297384951,128.650999472953
240009,대구광역시 수성구 만촌동 254번지,3,0,0.0,철근콘크리트구조,철근콘크리트구조,교육연구시설,0,,35.8751297384951,128.650999472953
240010,대구광역시 수성구 만촌동 262번지,4,1,15.1,철근콘크리트구조,철근콘크리트조,교육연구시설,0,1997.0,35.8746432252556,128.652060369461
240011,대구광역시 수성구 만촌동 272번지,15,0,44.9,철근콘크리트구조,철근콘크리트조,공동주택,0,2005.0,35.8741402043156,128.653318211418
240012,대구광역시 수성구 만촌동 272번지,1,1,3.3,철근콘크리트구조,철근콘크리트조,공동주택,0,2005.0,35.8741402043156,128.653318211418
240013,대구광역시 수성구 만촌동 272번지,15,0,44.9,철근콘크리트구조,철근콘크리트조,공동주택,0,2005.0,35.8741402043156,128.653318211418
240014,대구광역시 수성구 만촌동 272번지,1,0,4.84,철근콘크리트구조,철근콘크리트조,공동주택,0,2005.0,35.8741402043156,128.653318211418
240015,대구광역시 수성구 만촌동 272번지,12,0,37.1,철근콘크리트구조,철근콘크리트조,공동주택,0,2005.0,35.8741402043156,128.653318211418
240016,대구광역시 수성구 만촌동 272번지,1,1,3.3,철근콘크리트구조,철근콘크리트조,공동주택,0,2005.0,35.8741402043156,128.653318211418
240017,대구광역시 수성구 만촌동 272번지,15,1,44.9,철근콘크리트구조,철근콘크리트조,공동주택,0,2005.0,35.8741402043156,128.653318211418
240018,대구광역시 수성구 만촌동 303-3번지,1,0,5.2,블록구조,시멘트블록조,교정및군사시설,0,1999.0,35.8716554661305,128.655198786142
240019,대구광역시 수성구 만촌동 311번지,1,0,5.2,일반철골구조,일반철골조,,0,2008.0,35.8703648442439,128.657212725136
240020,대구광역시 수성구 만촌동 342-5번지,3,1,0.0,벽돌구조,세멘벽돌조,공동주택,0,1991.0,35.8739656017483,128.651914099259
240021,대구광역시 수성구 만촌동 342-11번지,2,0,0.0,벽돌구조,시멘트벽돌조,제2종근린생활시설,0,1980.0,35.8749398155577,128.649993623277
240022,대구광역시 수성구 만촌동 342-12번지,4,0,11.7,철근콘크리트구조,철근콘크리트구조,단독주택,0,2008.0,35.8747532932684,128.649946795256
