순번,관리부서,주소,위치 상세설명
1,노원119안전센터,대구광역시 북구 노원동2가 363-6,승애미용실 앞
2,노원119안전센터,대구광역시 북구 노원동3가 870-8,거도슈퍼앞
3,노원119안전센터,대구광역시 북구 노원동3가 139,노원3가 2동 경로당 앞
4,노원119안전센터,대구광역시 북구 노원동3가 191-1,우양기계 맞은편
5,노원119안전센터,대구광역시 북구 노원동3가 238,칠성식당 앞
6,노원119안전센터,대구광역시 북구 노원동3가 187-47,대양복어식당 앞
7,노원119안전센터,대구광역시 북구 노원동3가 872,군위상회 앞
8,노원119안전센터,대구광역시 북구 조야동 127-7,한솔빌라 101동 서편앞
9,복현119지역대,대구광역시 북구 복현동 462,복현시장 내 땡큐할인마트 앞
10,복현119지역대,대구광역시 북구 복현동 614-9,경대석유 앞
11,대현119안전센터,대구광역시 북구 산격동 1251-5,무한아트빌 서편
12,대현119안전센터,대구광역시 북구 산격동 1411-67,부광탁구장 앞
13,대현119안전센터,대구광역시 북구 산격동 1339,경대북문 맞은편
14,대현119안전센터,대구광역시 북구 대현동 272-19,동대구시장 파워마트 북편
15,대현119안전센터,대구광역시 북구 대현동 484-8,경산쌀슈퍼마켓
16,대현119안전센터,대구광역시 북구 산격동 1258,산격시장 남편
17,무태119안전센터구,대구광역시 북구 산격동 1180-46,광제사 북편 50M
18,무태119안전센터구,대구광역시 북구 산격동 848,성북마트 앞
19,무태119안전센터구,대구광역시 북구 산격동 1197-33,로케트 밧데리 건너편
20,무태119안전센터구,대구광역시 북구 산격동 1437-94,박미용실 앞
21,무태119안전센터구,대구광역시 북구 산격동 1180-26,구암서원 입구
22,무태119안전센터구,대구광역시 북구 산격동 산63-2,산격 4동 방범초소 옆
23,산격119안전센터,대구광역시 북구 검단동 838-25,삼영하이테크앞
24,산격119안전센터,대구광역시 북구 산격동 14-22,대경공업사 앞
25,범물119안전센터,대구광역시 수성구 지산동 1199-10,지산문구 앞
26,만촌119안전센터,대구광역시 수성구 만촌동 858,만촌종합상가서편
27,만촌119안전센터,대구광역시 수성구 만촌동 812-2,백만한우식육점앞
28,만촌119안전센터,대구광역시 수성구 범어동 77-131,범어파크빌라앞
29,만촌119안전센터,대구광역시 수성구 만촌동 857-33,초원아파트서편
30,수성119안전센터,대구광역시 수성구 수성동2가 39-105,동성시장 고령한우서편
31,수성119안전센터,대구광역시 수성구 수성동2가 39-164,수성시장 수성옷 수선 북편
32,수성119안전센터,대구광역시 수성구 수성동3가 338-2,떡치푸드 옆
33,수성119안전센터,대구광역시 수성구 범어동 1004-24,신천시장 대백슈퍼 뒤
34,고산119안전센터,대구광역시 수성구 성동 산22,고산서당 앞
35,월성119안전센터,대구광역시 달서구 본동 1095,청우빌라 남편
36,월성119안전센터,대구광역시 달서구 본동 1052,프라임빌B동서편
