주소,구이름,동이름,위도,경도
대구광역시 중구 도원동 3-47,중구,도원,35.8683,128.5988
대구광역시 중구 태평로1가 1-186,중구,태평로1,35.8751673714555,128.597430404607
대구광역시 중구 계산동2가 251-1,중구,계산동2,35.8669074834241,128.591573527077
대구광역시 중구 대신동 292-6,중구,대신,35.8664312304455,128.580456399935
대구광역시 수성구 수성동2가 39-105,수성구,수성동2,35.8559639995174,128.616943230635
대구광역시 수성구 만촌동 858,수성구,만촌,35.8549152788503,128.651550264403
대구광역시 수성구 만촌동 812-2,수성구,만촌,35.8502874577668,128.655872852634
대구광역시 수성구 만촌동 857-33,수성구,만촌,35.8538653541658,128.651668950841
대구광역시 수성구 범어동 77-131,수성구,범어,35.8547399323497,128.642947167842
대구광역시 수성구 수성동2가 39-164,수성구,수성동2,35.8553196677729,128.616743514388
대구광역시 수성구 범어동 1004-24,수성구,범어,35.8572,128.6336
대구광역시 수성구 성동 산22,수성구,성,35.8524669246779,128.716647471979
대구광역시 수성구 지산동 1199-10,수성구,지산,35.8208531002844,128.631874438009
대구광역시 수성구 수성동3가 338-2,수성구,수성동3,35.8536164660495,128.6185000213
대구광역시 서구 비산동 108-2,서구,비산,35.8762742670342,128.576801415077
대구광역시 서구 평리동 1536-2,서구,평리,35.8698121321954,128.54790125942
대구광역시 서구 평리동 1539-15,서구,평리,35.870422665465,128.547453333909
대구광역시 서구 비산동 404-7,서구,비산,35.8729501033151,128.575546410734
대구광역시 서구 비산동 171-40,서구,비산,35.8700678339975,128.576923203971
대구광역시 서구 비산동 115-3,서구,비산,35.8757548105543,128.575808676153
대구광역시 서구 비산동 145-1,서구,비산,35.8743859532764,128.575961151141
대구광역시 서구 비산동 324-1,서구,비산,35.8705419712771,128.570771836725
대구광역시 서구 원대동3가 1447,서구,원대동3,35.8839309315713,128.574960770914
대구광역시 서구 비산동 569-5,서구,비산,35.8800663325362,128.570132982619
대구광역시 서구 비산동 434,서구,비산,35.8748,128.5716
대구광역시 서구 평리동 1048-3,서구,평리,35.8748370510216,128.565509891782
대구광역시 서구 평리동 606-7,서구,평리,35.8773347410394,128.550597853059
대구광역시 서구 원대동3가 1434-29,서구,원대동3,35.885141984428,128.575221397607
대구광역시 서구 비산동 1025-10,서구,비산,35.8866504286454,128.566968408879
대구광역시 서구 내당동 1006-189,서구,내당,35.8674086365096,128.575557251282
대구광역시 서구 비산동 434-24,서구,비산,35.875062604496,128.571692168561
대구광역시 서구 비산동 1260-2,서구,비산,35.8881256368776,128.562519037025
대구광역시 서구 평리동 1435-4,서구,평리,35.86993195,128.55411746
대구광역시 서구 평리동 1205,서구,평리,35.8679578656417,128.560712125673
대구광역시 서구 내당동 1018-5,서구,내당,35.8688846940856,128.576293602207
대구광역시 서구 비산동 666-2,서구,비산,35.8830224983723,128.571582701868
대구광역시 서구 내당동 968-32,서구,내당,35.8643588043211,128.572152416057
대구광역시 서구 중리동 1136-4,서구,중리,35.8632694900168,128.543659621226
대구광역시 서구 상리동 149-1,서구,상리,35.8807571132466,128.525563888567
대구광역시 서구 평리동 675-16,서구,평리,35.8784290068081,128.558825590092
대구광역시 서구 평리동 1085-1,서구,평리,35.8737678447954,128.555717350347
대구광역시 북구 노원동2가 187-1,북구,노원동2,35.8914772897441,128.573798918399
대구광역시 북구 노원동3가 238,북구,노원동3,35.89686612,128.5650438
대구광역시 북구 노원동3가 215-4,북구,노원동3,35.8967925692192,128.567269318884
대구광역시 북구 노원동3가 246-2,북구,노원동3,35.8964768800551,128.561370766804
대구광역시 북구 칠성동1가 17930,북구,칠성동1,35.87558217,128.60300197
대구광역시 북구 칠성동1가 107-5,북구,칠성동1,35.8747038944126,128.604920995223
대구광역시 북구 산격동 1437-94,북구,산격,35.8950021205261,128.601440855713
대구광역시 북구 산격동 1180-26,북구,산격,35.8979124009809,128.599347775194
대구광역시 북구 산격동 848,북구,산격,35.8932741810375,128.59459578586
대구광역시 북구 복현동 614-9,북구,복현,35.890816030294,128.615951596862
대구광역시 북구 노원동3가 191-1,북구,노원동3,35.8977121398146,128.565407741808
대구광역시 북구 산격동 1411-67,북구,산격,35.8935371583731,128.607555921799
대구광역시 북구 노원동3가 187-47,북구,노원동3,35.8986539501742,128.56758146754
대구광역시 북구 노원동3가 872,북구,노원동3,35.8902415229515,128.567179822425
대구광역시 북구 조야동 127-7,북구,조야,35.9137139499614,128.576922869974
대구광역시 북구 복현동 462,북구,복현,35.8925829302165,128.619880988366
대구광역시 북구 산격동 1251-5,북구,산격,35.8966675373027,128.607925564587
대구광역시 북구 산격동 1339,북구,산격,35.8925043418196,128.608930098934
대구광역시 북구 대현동 272-19,북구,대현,35.8812126299178,128.609501224916
대구광역시 북구 대현동 484-8,북구,대현,35.8831206713927,128.605154279741
대구광역시 북구 산격동 1258,북구,산격,35.8984046148121,128.610517453648
대구광역시 북구 산격동 1180-46,북구,산격,35.90484926,128.6025246
대구광역시 북구 복현동 442-7,북구,복현,35.8925972584917,128.616290025935
대구광역시 북구 노원동3가 492,북구,노원동3,35.8943120634039,128.554084052242
대구광역시 북구 노원동3가 139,북구,노원동3,35.8975241397064,128.572471199844
대구광역시 북구 검단동 1087,북구,검단,35.9154456280127,128.625859478101
대구광역시 북구 칠성동1가 318,북구,칠성동1,35.8747517414991,128.608188445798
대구광역시 북구 산격동 1146,북구,산격,35.8949656599941,128.599497914559
대구광역시 북구 노원동3가 870-8,북구,노원동3,35.889611007518,128.568034616744
대구광역시 북구 노원동1가 141,북구,노원동1,35.889847677778,128.579096802126
